"","Dia setmana","Mes de any","Dia de mes","Hora de dia","Desc. Tipus vehicle implicat","Descripció sexe","Edat","Descripció tipus persona","Descripció victimització"
"178","3",6,16,12,"0","1","37","1","0"
"179","3",6,16,12,"0","1","38","1","0"
"180","1",3,1,16,"11","0","26","0","0"
"181","5",12,10,3,"11","0","35","0","0"
"182","2",11,2,8,"11","0","49","0","0"
"183","5",8,27,21,"11","1","34","1","0"
"184","5",8,27,21,"11","0","35","0","0"
"185","1",9,20,22,"11","1","37","1","0"
"186","5",12,17,17,"3","0","15","0","0"
"187","1",10,25,8,"16","1","29","1","0"
"188","1",10,25,8,"16","1","44","1","0"
"189","0",7,11,20,"17","1","21","1","0"
"190","0",7,11,20,"17","0","22","0","0"
"191","5",10,15,15,"11","1","23","0","0"
"192","3",11,10,16,"6","1","36","0","0"
"193","3",10,6,8,"11","0","48","2","0"
"194","0",11,28,19,"17","0","29","2","0"
"195","5",7,9,19,"17","0","51","0","0"
"196","5",7,9,8,"3","0","50","0","0"
"197","2",1,27,18,"6","1","24","0","0"
"198","2",2,10,8,"6","0","57","0","0"
"199","2",2,10,8,"11","1","45","0","0"
"200","1",7,12,18,"17","0","22","0","0"
"201","0",8,1,18,"0","0","28","2","0"
"202","0",12,5,17,"17","1","63","0","0"
"203","0",12,5,17,"17","0","7","1","0"
"204","0",12,19,21,"17","1","59","1","0"
"205","0",12,19,21,"17","0","65","0","0"
"206","3",12,22,8,"11","0","29","0","0"
"207","0",12,12,21,"11","0","33","0","0"
"208","0",12,12,21,"11","0","56","0","0"
"209","4",6,17,13,"11","0","27","0","0"
"210","4",6,17,16,"11","1","35","0","0"
"211","3",10,13,14,"9","0","29","0","0"
"212","3",10,13,14,"17","0","51","0","0"
"213","1",12,13,7,"17","0","73","0","0"
"214","2",1,13,8,"3","1","29","0","0"
"215","2",2,10,12,"11","0","24","0","0"
"216","0",2,29,13,"11","0","23","0","0"
"217","2",4,13,13,"11","0","37","0","0"
"218","2",6,15,9,"11","1","23","1","0"
"219","2",6,15,9,"11","0","21","0","0"
"220","0",7,18,9,"11","0","32","0","0"
"221","2",9,7,10,"11","0","48","0","0"
"222","0",12,19,13,"11","0","44","0","0"
"223","5",5,14,20,"17","0","38","0","0"
"224","2",10,12,12,"11","0","55","0","0"
"225","4",7,8,16,"11","0","53","0","0"
"226","2",4,20,15,"11","1","15","1","0"
"227","2",4,20,15,"11","0","48","0","0"
"228","4",10,7,18,"17","0","29","0","0"
"229","0",12,12,17,"11","1","11","2","1"
"230","0",12,12,17,"11","0","26","0","0"
"231","4",6,10,1,"11","1","52","1","0"
"232","4",6,10,1,"11","0","57","0","0"
"233","6",6,12,12,"17","1","18","0","0"
"234","0",9,26,18,"11","0","50","0","0"
"235","0",11,7,8,"11","0","58","0","0"
"236","6",5,8,15,"17","1","12","1","0"
"237","6",5,8,15,"17","1","38","1","0"
"238","6",5,8,15,"17","0","29","0","0"
"239","6",5,8,15,"17","0","34","0","0"
"240","6",2,7,5,"11","0","43","0","0"
"241","0",2,1,12,"11","1","37","0","0"
"242","3",10,6,8,"11","1","34","0","0"
"243","4",11,25,14,"11","0","26","0","0"
"244","6",10,16,2,"11","0","18","0","0"
"245","1",10,4,16,"17","0","37","0","0"
"246","4",4,22,10,"17","1","47","0","0"
"247","6",12,4,8,"0","1","43","0","0"
"248","3",1,14,12,"6","0","45","0","0"
"249","4",10,28,8,"11","1","29","0","0"
"250","4",7,29,17,"11","0","61","0","0"
"251","0",1,4,21,"11","1","54","1","0"
"252","4",1,15,17,"17","0","22","1","0"
"253","4",1,15,17,"17","0","41","1","0"
"254","4",1,15,17,"17","0","51","0","0"
"255","4",1,15,17,"17","0","53","1","0"
"256","2",2,17,21,"11","0","33","0","0"
"257","1",4,5,14,"13","0","37","0","0"
"258","1",4,5,14,"13","0","45","1","0"
"259","1",4,5,14,"17","1","84","1","0"
"260","3",9,22,18,"17","1","73","1","0"
"261","3",9,22,18,"17","0","27","0","0"
"262","4",10,14,16,"9","0","34","0","0"
"263","4",10,14,16,"17","1","54","1","0"
"264","4",10,14,16,"17","0","40","0","0"
"265","6",10,30,18,"17","1","26","1","0"
"266","4",12,2,13,"17","1","23","0","0"
"267","4",12,2,13,"17","1","4","1","0"
"268","4",12,2,13,"17","1","45","1","0"
"269","4",12,2,13,"17","1","46","1","0"
"270","4",12,2,13,"17","0","26","1","0"
"271","3",12,15,8,"17","1","24","1","0"
"272","2",1,20,8,"0","1","29","1","0"
"273","6",2,28,22,"11","0","79","0","1"
"274","0",3,7,13,"11","0","49","0","0"
"275","4",6,10,12,"17","1","26","0","0"
"276","4",6,10,12,"17","1","44","1","0"
"277","6",7,10,6,"17","0","38","0","0"
"278","4",7,15,7,"11","0","26","0","0"
"279","2",7,27,9,"11","0","50","0","0"
"280","0",8,8,14,"11","0","58","0","0"
"281","3",10,13,20,"11","0","39","0","0"
"282","2",11,2,9,"11","1","28","0","0"
"283","1",11,15,8,"11","0","19","0","0"
"284","4",11,18,21,"11","1","23","0","0"
"285","4",6,3,8,"11","1","29","0","0"
"286","2",3,9,20,"17","1","52","0","1"
"287","5",1,30,3,"15","0","55","2","0"
"288","3",7,28,15,"11","1","26","0","0"
"289","2",5,4,14,"11","0","48","0","0"
"290","1",11,15,11,"6","0","24","0","0"
"291","4",11,18,21,"11","1","34","0","0"
"292","2",4,13,10,"3","0","39","0","0"
"293","3",2,4,8,"11","1","51","0","0"
"294","4",10,7,11,"17","0","56","0","0"
"295","2",10,5,23,"17","0","27","0","0"
"296","3",9,8,18,"11","0","25","0","0"
"297","2",7,6,9,"17","1","12","1","0"
"298","2",7,6,9,"17","1","69","1","0"
"299","2",7,6,9,"17","0","45","0","0"
"300","2",7,6,9,"17","0","74","0","0"
"301","1",7,12,16,"0","1","58","1","0"
"302","0",6,27,12,"11","0","40","0","0"
"303","4",9,30,18,"11","1","43","0","0"
"304","4",9,30,18,"11","0","26","0","0"
"305","4",9,30,18,"11","0","44","0","0"
"306","1",11,15,12,"6","0","47","0","0"
"307","1",1,5,13,"11","0","19","1","0"
"308","5",7,9,11,"17","1","3","1","0"
"309","5",7,9,11,"17","1","34","1","0"
"310","4",7,22,14,"17","0","28","0","0"
"311","4",7,22,14,"17","0","50","0","0"
"312","2",7,27,18,"11","0","38","0","0"
"313","2",11,16,11,"11","0","31","0","0"
"314","4",11,18,11,"11","1","38","0","0"
"315","1",11,22,20,"11","0","38","0","0"
"316","3",11,24,0,"11","0","53","0","1"
"317","3",11,24,0,"17","1","21","1","0"
"318","3",11,24,0,"17","1","23","0","0"
"319","6",11,27,15,"11","0","26","0","0"
"320","3",5,5,12,"6","1","38","0","0"
"321","6",5,22,12,"17","0","65","0","0"
"322","1",11,29,15,"17","1","29","0","0"
"323","1",2,16,11,"17","0","27","0","0"
"324","2",5,25,14,"11","0","52","0","0"
"325","2",2,24,20,"17","1","30","0","0"
"326","3",4,28,1,"11","1","22","0","0"
"327","1",8,30,19,"3","0","50","0","0"
"328","4",3,11,16,"11","0","54","0","0"
"329","1",4,26,11,"11","0","45","0","0"
"330","2",5,11,23,"11","0","60","0","0"
"331","4",8,26,14,"11","0","23","0","0"
"332","3",7,14,10,"11","1","60","1","0"
"333","1",8,2,15,"17","1","26","1","0"
"334","1",8,2,15,"17","0","35","0","0"
"335","4",6,17,9,"11","1","32","0","0"
"336","0",5,2,16,"11","0","34","0","0"
"337","1",11,22,11,"11","0","40","0","0"
"338","5",6,4,12,"11","1","24","1","0"
"339","5",6,4,12,"11","1","53","0","0"
"340","3",8,25,12,"11","0","41","0","0"
"341","4",4,1,14,"11","1","52","0","0"
"342","0",2,15,11,"17","1","24","0","0"
"343","2",4,20,17,"11","0","39","0","0"
"344","2",6,1,12,"11","0","18","0","0"
"345","2",6,22,21,"17","1","63","1","0"
"346","6",2,7,8,"17","0","21","0","0"
"347","0",10,17,17,"17","1","55","0","0"
"348","0",10,17,17,"17","0","38","0","0"
"349","0",1,4,11,"15","0","45","2","0"
"350","0",6,27,8,"11","0","57","0","0"
"351","0",4,25,13,"11","0","48","0","0"
"352","1",7,5,19,"6","0","25","0","0"
"353","4",10,28,23,"11","0","19","0","0"
"354","4",10,28,23,"11","0","19","1","0"
"355","3",7,21,8,"0","0","46","0","0"
"356","4",5,6,6,"11","0","52","0","0"
"357","4",12,16,4,"11","0","30","0","0"
"358","2",6,1,8,"11","0","29","0","0"
"359","5",6,4,19,"11","0","18","0","0"
"360","0",1,25,13,"17","0","76","2","1"
"361","0",8,1,13,"17","1","30","0","0"
"362","0",8,1,13,"17","1","70","1","0"
"363","4",12,16,22,"17","0","39","0","0"
"364","0",2,1,13,"11","1","44","0","0"
"365","4",2,26,8,"11","0","30","0","0"
"366","3",3,3,18,"11","0","48","0","0"
"367","6",3,20,2,"17","1","22","1","0"
"368","6",3,20,2,"17","1","24","1","0"
"369","6",3,20,2,"17","0","23","0","0"
"370","6",3,20,2,"17","0","24","1","0"
"371","2",4,20,8,"11","0","26","0","0"
"372","1",4,26,10,"11","0","20","0","0"
"373","1",4,26,20,"11","0","25","0","0"
"374","6",5,22,6,"17","1","48","1","0"
"375","6",5,22,6,"17","1","9","1","0"
"376","6",5,22,6,"17","0","49","0","0"
"377","6",5,22,6,"17","0","78","0","0"
"378","0",6,20,9,"11","1","26","0","0"
"379","2",6,29,13,"11","0","33","0","1"
"380","1",7,12,12,"0","0","19","2","0"
"381","3",7,28,18,"11","0","25","0","0"
"382","4",8,12,11,"17","1","24","0","0"
"383","5",9,3,14,"11","0","22","0","0"
"384","2",9,21,13,"11","0","22","0","0"
"385","2",9,21,13,"11","0","65","2","0"
"386","1",10,11,15,"3","0","34","0","0"
"387","4",10,28,7,"11","0","32","0","0"
"388","4",11,11,17,"11","0","21","0","0"
"389","4",11,11,17,"11","0","29","2","0"
"390","5",12,17,14,"11","0","31","0","0"
"391","6",12,18,23,"11","0","46","0","0"
"392","4",3,18,10,"6","1","24","0","0"
"393","5",6,11,7,"11","0","53","0","0"
"394","2",11,30,7,"11","0","57","0","0"
"395","1",5,24,14,"3","0","29","0","0"
"396","4",3,4,17,"11","0","48","0","0"
"397","0",5,30,11,"3","0","50","0","0"
"398","3",1,21,16,"3","1","22","0","0"
"399","0",2,29,9,"12","0","40","0","0"
"400","2",11,30,11,"0","0","85","1","0"
"401","1",7,19,8,"11","0","46","0","0"
"402","6",6,26,14,"3","0","32","0","0"
"403","6",6,26,14,"11","1","33","0","0"
"404","2",8,3,19,"11","1","23","0","0"
